1,1,P,20,2
1,2,_,
1,3,_,
1,4,_,
1,5,O,,
1,6,_,,
1,7,_,,
1,8,B,1,
1,9,_,,
1,10,_,,
1,11,_,,
1,12,R,,
1,13,_,,
1,14,_,,
2,1,_,,
2,2,_,,
2,3,_,,
2,4,_,,
2,5,O,,
2,6,_,,
2,7,_,,
2,8,_,,
2,9,_,,
2,10,_,,
2,11,_,,
2,12,_,,
2,13,_,,
2,14,_,,
3,1,_,,
3,2,_,,
3,3,_,,
3,4,_,,
3,5,O,,
3,6,W,,
3,7,_,,
3,8,_,,
3,9,_,,
3,10,_,,
3,11,_,,
3,12,_,,
3,13,_,,
3,14,_,,
4,1,_,,
4,2,_,,
4,3,_,,
4,4,_,,
4,5,O,,
4,6,_,,
4,7,_,,
4,8,_,,
4,9,_,,
4,10,_,,
4,11,_,,
4,12,_,,
4,13,_,,
4,14,E,,
5,1,_,,
5,2,_,,
5,3,_,,
5,4,_,,
5,5,O,,
5,6,_,,
5,7,_,,
5,8,_,,
5,9,_,,
5,10,O,,
5,11,O,,
5,12,_,,
5,13,_,,
5,14,_,,
6,1,_,,
6,2,_,,
6,3,_,,
6,4,B,2,
6,5,O,,
6,6,_,,
6,7,_,,
6,8,_,,
6,9,_,,
6,10,O,,
6,11,O,,
6,12,_,,
6,13,_,,
6,14,_,,
7,1,_,,
7,2,_,,
7,3,_,,
7,4,_,,
7,5,_,,
7,6,_,,
7,7,_,,
7,8,_,,
7,9,_,,
7,10,O,,
7,11,O,,
7,12,_,,
7,13,_,,
7,14,_,,
8,1,_,,
8,2,_,,
8,3,_,,
8,4,_,,
8,5,_,,
8,6,_,,
8,7,_,,
8,8,_,,
8,9,_,,
8,10,O,,
8,11,O,,
8,12,B,3,
8,13,_,,
8,14,_,,
9,1,G,,
9,2,_,,
9,3,_,,
9,4,_,,
9,5,_,,
9,6,_,,
9,7,_,,
9,8,_,,
9,9,_,,
9,10,O,,
9,11,O,,
9,12,_,,
9,13,_,,
9,14,_,,
10,1,_,,
10,2,_,,
10,3,_,,
10,4,_,,
10,5,_,,
10,6,_,,
10,7,_,,
10,8,_,,
10,9,_,,
10,10,O,,
10,11,O,,
10,12,_,,
10,13,_,,
10,14,_,,